M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
104,1,0,0.0,0.9919599999999995
104,1,1,0.0,0.9870399999999997
104,1,2,0.0,0.9773999999999998
104,1,3,0.0,0.96824
104,1,4,0.0,0.9499200000000001
104,1,5,0.0,0.9316400000000002
104,1,6,0.0,0.90696
104,1,7,0.0,0.8758
104,1,8,8e-05,0.8432799999999999
104,1,9,0.0,0.8060399999999998
104,1,10,4e-05,0.7566000000000002
104,1,11,4e-05,0.7168800000000001
104,1,12,4e-05,0.6641200000000002
104,1,13,8e-05,0.6207999999999999
104,1,14,4e-05,0.5775999999999999
104,1,15,0.0002,0.52948
104,1,16,4e-05,0.48452000000000006
104,1,17,0.0004000000000000001,0.43252
104,1,18,0.0006000000000000002,0.39976
104,1,19,0.0006000000000000002,0.35995999999999995
104,1,20,0.0008800000000000001,0.3199600000000001
104,1,21,0.0011200000000000001,0.2803600000000001
104,1,22,0.0016000000000000003,0.2546800000000001
104,1,23,0.0020400000000000006,0.21907999999999997
104,1,24,0.0022800000000000008,0.19208000000000003
104,1,25,0.002560000000000001,0.16368000000000002
104,1,26,0.0033200000000000013,0.14568000000000003
104,1,27,0.004400000000000002,0.12443999999999997
104,1,28,0.004320000000000002,0.10859999999999997
104,1,29,0.006520000000000002,0.09391999999999999
104,1,30,0.007760000000000002,0.07972
104,1,31,0.010480000000000003,0.06944
104,1,32,0.012480000000000005,0.059919999999999994
104,1,33,0.01488000000000001,0.05040000000000002
104,1,34,0.017520000000000008,0.041600000000000026
104,1,35,0.020000000000000007,0.03748000000000002
104,1,36,0.024720000000000013,0.03104000000000002
104,1,37,0.029360000000000018,0.025920000000000012
104,1,38,0.031240000000000018,0.021000000000000008
104,1,39,0.03624000000000002,0.01696000000000001
104,1,40,0.043960000000000006,0.014600000000000009
104,1,41,0.05176,0.012760000000000004
104,1,42,0.05944,0.011040000000000003
104,1,43,0.06692,0.009080000000000003
104,1,44,0.07287999999999999,0.006200000000000002
104,1,45,0.08267999999999999,0.007160000000000002
104,1,46,0.09352,0.005320000000000003
104,1,47,0.10391999999999997,0.004440000000000002
104,1,48,0.11431999999999999,0.003080000000000001
104,1,49,0.13371999999999995,0.0031200000000000004
104,1,50,0.14024,0.0016800000000000003
104,1,51,0.15947999999999998,0.00208
104,3,0,0.0,0.9725199999999999
104,3,1,0.0,0.9502400000000002
104,3,2,0.0,0.9203600000000002
104,3,3,0.0,0.8803999999999997
104,3,4,0.0,0.8274400000000003
104,3,5,0.0,0.7709999999999999
104,3,6,0.0,0.7069200000000001
104,3,7,0.0,0.6448799999999999
104,3,8,4e-05,0.5790799999999998
104,3,9,4e-05,0.5135999999999998
104,3,10,0.00016,0.44480000000000003
104,3,11,8e-05,0.38156
104,3,12,4e-05,0.32295999999999997
104,3,13,4e-05,0.2656400000000001
104,3,14,0.00043999999999999996,0.21943999999999997
104,3,15,0.0002,0.17656000000000002
104,3,16,0.0008400000000000001,0.14215999999999998
104,3,17,0.0011600000000000004,0.11439999999999996
104,3,18,0.0016400000000000006,0.09336
104,3,19,0.0016800000000000007,0.07271999999999998
104,3,20,0.0017200000000000006,0.05475999999999999
104,3,21,0.003880000000000001,0.04144000000000002
104,3,22,0.003320000000000001,0.034720000000000015
104,3,23,0.004880000000000002,0.02656000000000001
104,3,24,0.006240000000000003,0.019560000000000008
104,3,25,0.006880000000000002,0.014800000000000006
104,3,26,0.009200000000000003,0.011960000000000004
104,3,27,0.011400000000000006,0.010000000000000002
104,3,28,0.015680000000000006,0.007640000000000003
104,3,29,0.016320000000000008,0.006280000000000003
104,3,30,0.02272000000000001,0.0042000000000000015
104,3,31,0.024800000000000013,0.004120000000000001
104,3,32,0.031080000000000017,0.0031600000000000013
104,3,33,0.03716000000000002,0.0022
104,3,34,0.04108000000000001,0.0016000000000000003
104,3,35,0.05187999999999999,0.0012800000000000003
104,3,36,0.05979999999999999,0.0009600000000000003
104,3,37,0.06735999999999999,0.00064
104,3,38,0.0816,0.00043999999999999996
104,3,39,0.09316,0.00028000000000000003
104,3,40,0.10927999999999996,0.00048000000000000007
104,3,41,0.12303999999999997,0.00036
104,3,42,0.14036,0.00036
104,3,43,0.15648000000000004,0.00016
104,3,44,0.17808,0.00016
104,3,45,0.19819999999999996,4e-05
104,3,46,0.22043999999999997,8e-05
104,3,47,0.24864,0.00012
104,3,48,0.2697600000000001,8e-05
104,3,49,0.29788,0.0002
104,3,50,0.32332000000000005,4e-05
104,3,51,0.35095999999999994,0.0
104,5,0,0.0,0.9620799999999998
104,5,1,0.0,0.9240399999999999
104,5,2,0.0,0.87616
104,5,3,0.0,0.8204799999999999
104,5,4,0.0,0.7520399999999999
104,5,5,4e-05,0.67596
104,5,6,0.0,0.59228
104,5,7,0.0,0.50996
104,5,8,8e-05,0.42628
104,5,9,8e-05,0.35563999999999985
104,5,10,0.00024,0.28596000000000005
104,5,11,0.00016,0.22415999999999997
104,5,12,0.00024,0.18231999999999993
104,5,13,0.00048,0.13555999999999999
104,5,14,0.0007600000000000002,0.10943999999999995
104,5,15,0.0012000000000000003,0.0812
104,5,16,0.0014800000000000002,0.059000000000000025
104,5,17,0.002,0.04584000000000001
104,5,18,0.0026800000000000005,0.03400000000000002
104,5,19,0.0027200000000000006,0.02480000000000001
104,5,20,0.004720000000000002,0.01724000000000001
104,5,21,0.0052000000000000015,0.014080000000000007
104,5,22,0.007040000000000003,0.009640000000000004
104,5,23,0.009200000000000003,0.006880000000000002
104,5,24,0.011680000000000001,0.005080000000000002
104,5,25,0.012560000000000005,0.0037600000000000008
104,5,26,0.01704000000000001,0.0024400000000000003
104,5,27,0.02192000000000001,0.002160000000000001
104,5,28,0.025520000000000015,0.0021600000000000005
104,5,29,0.029960000000000018,0.0014800000000000002
104,5,30,0.03828000000000002,0.0009600000000000003
104,5,31,0.043720000000000016,0.0010000000000000002
104,5,32,0.05172000000000001,0.0004800000000000002
104,5,33,0.06343999999999998,0.00072
104,5,34,0.07415999999999999,0.00036
104,5,35,0.08455999999999998,0.00032
104,5,36,0.09563999999999999,0.0002
104,5,37,0.10875999999999998,0.0002
104,5,38,0.12680000000000002,0.0002
104,5,39,0.14484,8e-05
104,5,40,0.16567999999999997,0.00012
104,5,41,0.18780000000000005,0.00012
104,5,42,0.21384,0.0002
104,5,43,0.24364,4e-05
104,5,44,0.26963999999999994,8e-05
104,5,45,0.2953199999999999,0.0
104,5,46,0.3212,4e-05
104,5,47,0.35491999999999996,4e-05
104,5,48,0.3868000000000001,4e-05
104,5,49,0.42488000000000015,4e-05
104,5,50,0.4558,0.0
104,5,51,0.49115999999999993,0.0
104,7,0,0.0,0.93756
104,7,1,4e-05,0.89236
104,7,2,4e-05,0.8319199999999998
104,7,3,0.0,0.7526399999999999
104,7,4,0.0,0.6695200000000001
104,7,5,4e-05,0.56724
104,7,6,0.0,0.47312000000000004
104,7,7,4e-05,0.38524
104,7,8,0.00012,0.30540000000000006
104,7,9,0.00012,0.23568
104,7,10,0.0002,0.18096
104,7,11,0.00024,0.1326
104,7,12,0.0004000000000000001,0.09787999999999997
104,7,13,0.0010400000000000003,0.07331999999999998
104,7,14,0.0009200000000000002,0.0516
104,7,15,0.0011200000000000003,0.03848000000000002
104,7,16,0.0013600000000000003,0.027680000000000017
104,7,17,0.0018400000000000011,0.01944000000000001
104,7,18,0.002520000000000001,0.01480000000000001
104,7,19,0.004640000000000002,0.011320000000000004
104,7,20,0.004560000000000002,0.007400000000000002
104,7,21,0.005760000000000003,0.006280000000000001
104,7,22,0.008800000000000004,0.003640000000000001
