N,Bags,Hyperplane,Rate
RAW,RAW,RAW,0.002
64,1,18.6916,0.0442
64,3,12.5991,0.0191
64,5,9.8212,0.0159
64,7,9.1737,0.017
64,9,8.0057,0.0131
64,11,7.2857,0.013
64,13,6.6986,0.0133
72,1,22.1297,0.0343
72,3,14.9095,0.018
72,5,12.9573,0.0132
72,7,10.8814,0.01
72,9,10.2648,0.0118
72,11,9.2727,0.0092
72,13,9.1716,0.0092
80,1,26.2867,0.0385
80,3,18.3761,0.0161
80,5,14.7248,0.0104
80,7,13.7394,0.0127
80,9,11.9439,0.01
80,11,11.0909,0.0076
80,13,10.6429,0.0075
88,1,29.2886,0.0265
88,3,20.4219,0.0115
88,5,17.9573,0.012
88,7,16.7444,0.0084
88,9,14.71,0.0074
88,11,14.0079,0.0096
88,13,13.0441,0.0057
96,1,32.2096,0.027
96,3,23.1156,0.0141
96,5,20.7447,0.0082
96,7,18.2353,0.0084
96,9,17.6024,0.0084
96,11,16.2353,0.0071
96,13,14.8644,0.0046
104,1,36.876,0.0227
104,3,26.5213,0.0112
104,5,22.7708,0.0056
104,7,20.701,0.0084
104,9,19.9524,0.0049
104,11,19.1618,0.0055
104,13,18.9516,0.0064
