Bags,Quantization,Intersection (IS-Size),Intersection (Error Rate)
1,Float,30.32142857,0.02715714286
1,16-bit,27.69047619,0.03083809524
1,12-bit,30.61538462,0.02427692308
1,8-bit,30.6,0.02912
1,4-bit,None,None
1,3-bit,None,None
3,Float,20.92105263,0.01389473684
3,16-bit,21.65714286,0.01819428571
3,12-bit,21,0.0104
3,8-bit,20.82758621,0.009972413793
3,4-bit,None,None
3,3-bit,None,None
5,Float,14.59090909,0.006290909091
5,16-bit,19.31428571,0.01232
5,12-bit,18.44444444,0.005822222222
5,8-bit,17.87755102,0.01051428571
5,4-bit,36.19178082,0.06162739726
5,3-bit,None,None
7,Float,15.8,0.00928
7,16-bit,14.75,0.005
7,12-bit,15.83333333,0.01466666667
7,8-bit,15.52941176,0.009176470588
7,4-bit,35.6969697,0.03151515152
7,3-bit,None,None
9,Float,13.53846154,0.006061538462
9,16-bit,14.77777778,0.005688888889
9,12-bit,14.375,0.00575
9,8-bit,13.58333333,0.0079
9,4-bit,35.71111111,0.03502222222
9,3-bit,None,None
11,Float,14.4047619,0.01539047619
11,16-bit,11.5862069,0.009310344828
11,12-bit,14,0.0044
11,8-bit,12.48275862,0.006110344828
11,4-bit,31.2,0.03592
11,3-bit,None,None
13,Float,14.25,0.0069
13,16-bit,12,0.0036
13,12-bit,14.60526316,0.01635789474
13,8-bit,14.30434783,0.01003478261
13,4-bit,29.92424242,0.03118181818
13,3-bit,None,None
