M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
64,1,0,6.666666666666667e-05,0.9558666666666666,1.6738100384448158e-05,0.9834566110829931
64,1,1,6.666666666666667e-05,0.9244666666666669,2.2701972175418647e-05,0.9809274547344058
64,1,2,0.0,0.8786,2.857065079778217e-05,0.9783256590308322
64,1,3,6.666666666666667e-05,0.8233999999999999,3.320342853587827e-05,0.9753313453879292
64,1,4,0.0002,0.7623333333333332,4.1956169133487885e-05,0.9722420589717565
64,1,5,0.0005333333333333334,0.6978000000000001,5.099879617474635e-05,0.9683731107908942
64,1,6,0.0013333333333333333,0.6213999999999998,6.782101499194643e-05,0.9641595954733192
64,1,7,0.0006666666666666668,0.5480666666666667,8.068013477374728e-05,0.9594287994270054
64,1,8,0.0018000000000000002,0.4732666666666666,9.749348043174179e-05,0.9545721122792978
64,1,9,0.0025333333333333336,0.4024666666666668,0.00013164020127722818,0.9488682488347647
64,1,10,0.002866666666666667,0.3398666666666667,0.0001395612116123517,0.9425912110874993
64,1,11,0.004533333333333334,0.288,0.00017728690857856305,0.9354788948712559
64,1,12,0.005933333333333335,0.23173333333333337,0.0002286334553913042,0.928128152006177
64,1,13,0.008600000000000002,0.18533333333333332,0.00028720739104101526,0.9206655507329959
64,1,14,0.013533333333333338,0.1498,0.0003417376559665467,0.9115932343210326
64,1,15,0.015533333333333338,0.12226666666666668,0.00041365857769159884,0.9013492744619102
64,1,16,0.01913333333333334,0.09166666666666669,0.0004925140967036811,0.890890510663474
64,1,17,0.02880000000000001,0.07553333333333336,0.0006171482718436125,0.8791986908338182
64,1,18,0.03226666666666668,0.057800000000000025,0.0007772900791078167,0.8673059739828993
64,1,19,0.04166666666666668,0.046666666666666676,0.0009667682677732027,0.8536630311477181
64,1,20,0.04686666666666669,0.0352,0.0011502718705197214,0.8397339522152638
64,1,21,0.059066666666666684,0.027666666666666676,0.0014209974113176703,0.8233639367573194
64,1,22,0.07100000000000002,0.02393333333333334,0.0016940661972234222,0.8072276797673925
64,1,23,0.0862,0.017333333333333336,0.0020807977355654364,0.7876235079309958
64,1,24,0.09593333333333336,0.014333333333333335,0.0025091840756075543,0.7687467873671827
64,1,25,0.11686666666666667,0.010266666666666669,0.0030996968032908022,0.7508657657685397
64,1,26,0.13053333333333333,0.007866666666666668,0.0036960438519256698,0.7275681007993346
64,1,27,0.15573333333333336,0.005800000000000002,0.004515869335148135,0.7042950416490235
64,1,28,0.1733333333333333,0.004200000000000001,0.0053178905494211575,0.6833616067477567
64,1,29,0.19339999999999996,0.002,0.00638303981300801,0.6563508957999227
64,1,30,0.22533333333333336,0.002333333333333333,0.007646239969004903,0.6286684646572887
64,1,31,0.24913333333333335,0.0013333333333333335,0.009349091814371173,0.6027499828856588
64,3,0,6.666666666666667e-05,0.8529333333333333,5.0996700184230194e-05,0.950471712501626
64,3,1,0.00013333333333333334,0.7556666666666667,6.199537040301741e-05,0.9437464317059033
64,3,2,6.666666666666667e-05,0.6523999999999999,8.156330024992901e-05,0.9370332479047706
64,3,3,0.00046666666666666666,0.5385333333333333,9.682032162081604e-05,0.9271321927242892
64,3,4,0.0010666666666666667,0.44233333333333325,0.0001262448774465123,0.9187448696138144
64,3,5,0.0016666666666666672,0.33940000000000003,0.00016076925422714075,0.9075725902455314
64,3,6,0.0019333333333333336,0.2526,0.00018539099778666038,0.896679388413794
64,3,7,0.002800000000000001,0.18533333333333335,0.000251520423861051,0.8846972479001192
64,3,8,0.0042,0.12986666666666669,0.0003061138969316108,0.8702797182806673
64,3,9,0.007133333333333336,0.09393333333333334,0.0003911056939752237,0.8551353830206875
64,3,10,0.0088,0.06713333333333334,0.0004762443167244244,0.8402720085212386
64,3,11,0.01366666666666667,0.046333333333333344,0.0005636997528790591,0.8230697725556685
64,3,12,0.017466666666666672,0.03086666666666667,0.0007051258335897417,0.8041206839270421
64,3,13,0.024066666666666674,0.021466666666666676,0.0008660162750706075,0.7850258431175016
64,3,14,0.034933333333333344,0.015133333333333335,0.0010498459920483274,0.763577533591086
64,3,15,0.042200000000000015,0.009200000000000003,0.001361333795859489,0.7387713092462989
64,3,16,0.050866666666666685,0.006800000000000002,0.0017183411307358104,0.7162234342379523
64,3,17,0.06493333333333334,0.005200000000000001,0.002032728476540023,0.6918926895434355
64,3,18,0.08146666666666665,0.003266666666666667,0.002412535903647491,0.6650372070559404
64,3,19,0.10439999999999998,0.0025333333333333336,0.003004856587868012,0.6378618408538157
64,3,20,0.12900000000000003,0.0022,0.0036817780890996735,0.6079223730470118
64,3,21,0.1528666666666667,0.0011333333333333334,0.004325685783971971,0.5774760150952273
64,3,22,0.18173333333333336,0.0004,0.005249638828519952,0.5490799323382746
64,3,23,0.2104666666666667,0.0008,0.006468999426444616,0.5130130355267833
64,3,24,0.24526666666666666,0.0004,0.007750869832769723,0.4803533611227824
64,3,25,0.28113333333333324,6.666666666666667e-05,0.009510501168602255,0.44752099179824106
64,3,26,0.32539999999999997,6.666666666666667e-05,0.011402621787031537,0.42014323738532294
64,3,27,0.37606666666666666,0.0,0.013583331414810634,0.3883867476837453
64,3,28,0.42693333333333344,0.0,0.01645102552138235,0.3549502946485624
64,3,29,0.46706666666666674,0.00013333333333333334,0.01979735589367467,0.3256522820725224
64,3,30,0.5180000000000002,0.0,0.023654496587918506,0.29471239138872096
