M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
64,1,0,0.0,0.99996
64,1,1,0.0,0.9999600000000001
64,1,2,0.0,0.99992
64,1,3,0.0,0.99976
64,1,4,0.0,0.99976
64,1,5,0.0,0.9995999999999998
64,1,6,0.0,0.9994
64,1,7,0.0,0.99908
64,1,8,0.0,0.9986799999999997
64,1,9,0.0,0.9977600000000002
64,1,10,0.0,0.9969199999999999
64,1,11,0.0,0.99564
64,1,12,0.0,0.9943200000000002
64,1,13,0.0,0.9929200000000001
64,1,14,0.0,0.98976
64,1,15,0.0,0.9873999999999998
64,1,16,0.0,0.9815200000000001
64,1,17,0.0,0.9776799999999994
64,1,18,0.0,0.97252
64,1,19,0.0,0.96788
64,1,20,0.0,0.9570399999999998
64,1,21,0.0,0.9466799999999996
64,1,22,0.0,0.9347599999999998
64,1,23,0.0,0.9248000000000002
64,1,24,0.0,0.9102799999999999
64,1,25,0.0,0.8924800000000002
64,1,26,0.0,0.8798000000000001
64,1,27,0.0,0.8592800000000002
64,1,28,0.0,0.83588
64,1,29,0.0,0.80796
64,1,30,0.0,0.7888000000000004
64,1,31,0.0,0.7587200000000003
64,3,0,0.0,0.99988
64,3,1,0.0,0.99984
64,3,2,0.0,0.9995599999999998
64,3,3,0.0,0.9994
64,3,4,0.0,0.9991599999999999
64,3,5,0.0,0.9985599999999999
64,3,6,0.0,0.9976
64,3,7,0.0,0.9962800000000002
64,3,8,0.0,0.9939599999999997
64,3,9,0.0,0.9909199999999997
64,3,10,0.0,0.9884800000000001
64,3,11,0.0,0.9839199999999998
64,3,12,0.0,0.9805599999999997
64,3,13,0.0,0.97108
64,3,14,0.0,0.96488
64,3,15,0.0,0.95568
64,3,16,0.0,0.9447999999999996
64,3,17,0.0,0.9289999999999999
64,3,18,0.0,0.9108399999999999
64,3,19,0.0,0.8909200000000003
64,3,20,0.0,0.8744
64,3,21,0.0,0.85148
64,3,22,0.0,0.8276799999999999
64,3,23,0.0,0.7981199999999998
64,3,24,0.0,0.7686800000000003
64,3,25,0.0,0.73528
64,3,26,0.0,0.7090800000000002
64,3,27,0.0,0.67108
64,3,28,0.0,0.6373199999999999
64,3,29,0.0,0.6080000000000001
64,3,30,0.0,0.5676399999999999
64,3,31,0.0,0.5296400000000002
64,5,0,0.0,0.9998400000000001
64,5,1,0.0,0.99964
64,5,2,0.0,0.99952
64,5,3,0.0,0.9988799999999998
64,5,4,0.0,0.9983599999999998
64,5,5,0.0,0.99764
64,5,6,0.0,0.9961599999999998
64,5,7,0.0,0.99496
64,5,8,0.0,0.9915600000000001
64,5,9,0.0,0.9891599999999996
64,5,10,0.0,0.9833199999999997
64,5,11,0.0,0.9756399999999995
64,5,12,0.0,0.9699599999999999
64,5,13,0.0,0.9562000000000002
64,5,14,0.0,0.9457199999999999
64,5,15,0.0,0.9324000000000001
64,5,16,0.0,0.91368
64,5,17,0.0,0.8930800000000003
64,5,18,0.0,0.8721199999999999
64,5,19,0.0,0.8460400000000001
64,5,20,0.0,0.8183600000000001
64,5,21,0.0,0.7906799999999998
64,5,22,0.0,0.7541600000000002
64,5,23,0.0,0.7252000000000001
64,5,24,0.0,0.6851599999999999
64,5,25,0.0,0.6525200000000001
64,5,26,0.0,0.6173600000000001
64,5,27,0.0,0.5803600000000001
64,5,28,0.0,0.53632
64,5,29,0.0,0.49907999999999997
64,5,30,0.0,0.4578399999999999
64,5,31,0.0,0.4237999999999999
64,7,0,0.0,0.9999199999999999
64,7,1,0.0,0.9997599999999999
64,7,2,0.0,0.9994399999999998
64,7,3,0.0,0.9993999999999998
64,7,4,0.0,0.9984799999999997
64,7,5,0.0,0.9982399999999998
64,7,6,0.0,0.9965600000000001
64,7,7,0.0,0.9951599999999998
64,7,8,0.0,0.99208
64,7,9,0.0,0.9882
64,7,10,0.0,0.9817199999999997
64,7,11,0.0,0.9753199999999999
64,7,12,0.0,0.9637999999999995
64,7,13,0.0,0.95548
64,7,14,0.0,0.9391199999999997
64,7,15,0.0,0.9211599999999999
64,7,16,0.0,0.9037599999999997
64,7,17,0.0,0.8754400000000002
64,7,18,0.0,0.8465200000000003
64,7,19,0.0,0.8226
64,7,20,0.0,0.7917999999999996
64,7,21,0.0,0.7510400000000003
64,7,22,0.0,0.7128800000000003
64,7,23,0.0,0.6703199999999999
64,7,24,0.0,0.6311999999999999
64,7,25,0.0,0.5915600000000001
64,7,26,0.0,0.5454399999999999
64,7,27,0.0,0.5010000000000001
64,7,28,0.0,0.46916000000000024
64,7,29,0.0,0.42660000000000003
64,7,30,0.0,0.39004000000000005
64,7,31,0.0,0.3498400000000001
64,9,0,0.0,0.9998
64,9,1,0.0,0.99988
64,9,2,0.0,0.9994399999999999
64,9,3,0.0,0.9986399999999996
64,9,4,0.0,0.998
64,9,5,0.0,0.9963599999999998
64,9,6,0.0,0.9952799999999996
64,9,7,0.0,0.9923999999999996
64,9,8,0.0,0.9886399999999999
64,9,9,0.0,0.9841199999999999
64,9,10,0.0,0.9780399999999999
64,9,11,0.0,0.96832
64,9,12,0.0,0.95684
64,9,13,0.0,0.93988
64,9,14,0.0,0.9259999999999997
64,9,15,0.0,0.8996000000000002
64,9,16,0.0,0.87464
64,9,17,0.0,0.8459200000000004
64,9,18,0.0,0.80808
64,9,19,0.0,0.7769599999999999
64,9,20,0.0,0.733
64,9,21,0.0,0.6909999999999998
64,9,22,0.0,0.6485600000000002
64,9,23,0.0,0.5970800000000002
64,9,24,0.0,0.5554000000000001
64,9,25,0.0,0.50688
