Num Bits,Tolerance,Disjoint Bags,Total Variants,Successful Trials,Reg Setup Time (s),Reg Derive Time (s),Reg PRF Time (s),Reg Enc Time (s),Reg Total All Bags (s),Auth Phase 1 Total (s),Auth Global Face ZKP (s),Auth ZKP (s),Auth Server OT Prep (s),Auth Client OT Eval (s),Audit Phase 2 Total (s),Audit Derive Time (s),Audit PRF Time (s),Audit KDF & Dec (s),Total Auth+Audit Session (s)
64,10,1,1024,1,0.0,0.002747,0.052187,0.038537,0.094479,3.692734,0.821491,2.837861,0.023369,0.004891,0.082814,0.0,0.064244,0.018571,3.775548
64,10,3,3072,1,0.0,0.00417,0.164318,0.088778,0.257266,9.592246,0.828168,8.675363,0.068186,0.020529,0.259492,0.011716,0.140975,0.1068,9.851738
64,12,1,4096,1,0.000983,0.008659,0.216414,0.114763,0.340819,3.793273,0.834515,2.928033,0.021242,0.009483,0.343204,0.008192,0.250151,0.084862,4.136477
64,12,3,12288,1,0.002009,0.028683,0.690005,0.375302,1.096998,9.622039,0.899864,8.626471,0.073808,0.021152,1.004095,0.027146,0.718121,0.255336,10.626133
64,14,1,16384,1,0.004859,0.033952,0.908764,0.454817,1.410007,3.729232,0.849739,2.852458,0.020552,0.006482,1.348799,0.03739,0.913635,0.390834,5.078031
64,14,3,49152,1,0.0,0.114185,2.723378,1.238936,4.087423,9.588665,0.841776,8.652642,0.066489,0.021637,4.15357,0.107553,2.730314,1.286755,13.742235
72,10,1,1024,1,0.0,0.0,0.066071,0.019336,0.085408,4.204622,0.852786,3.320716,0.022321,0.00679,0.088116,0.0,0.034033,0.04908,4.292737
72,10,3,3072,1,0.005701,0.001698,0.179091,0.075904,0.262394,10.597483,0.820493,9.678432,0.073154,0.024772,0.268565,0.007099,0.150545,0.110921,10.866048
72,12,1,4096,1,0.0,0.008657,0.278637,0.059737,0.349086,4.099692,0.81878,3.239581,0.031611,0.009719,0.37807,0.010433,0.229854,0.136781,4.477762
72,12,3,12288,1,0.0,0.020929,0.698545,0.309043,1.033104,10.630542,0.860535,9.670173,0.073928,0.024963,1.042889,0.019369,0.737825,0.285694,11.673431
72,14,1,16384,1,0.005078,0.037277,0.994642,0.406792,1.443789,4.52918,0.827888,3.641055,0.04469,0.015547,1.941064,0.059086,1.186053,0.683721,6.470244
72,14,3,49152,1,0.0,0.117192,2.99914,1.482738,4.617775,11.665595,1.012028,10.505308,0.109766,0.033543,4.622296,0.125296,3.07675,1.386674,16.287891
80,10,1,1024,1,0.0,0.001846,0.06538,0.029082,0.098315,4.996902,1.321743,3.634226,0.031938,0.008994,0.085108,0.002007,0.042054,0.041048,5.08201
80,10,3,3072,1,0.0,0.00199,0.172356,0.091508,0.266855,11.675838,0.817657,10.748344,0.085085,0.024752,0.269464,0.002105,0.200578,0.060669,11.945302
80,12,1,4096,1,0.0,0.00912,0.239075,0.10387,0.353384,4.832426,0.899718,3.895507,0.027688,0.009513,0.36265,0.011067,0.253573,0.091016,5.195076
80,12,3,12288,1,0.005873,0.024305,0.74036,0.302778,1.073317,13.107093,0.948808,12.02968,0.093853,0.032749,1.081494,0.022123,0.674954,0.382371,14.189595
80,14,1,16384,1,0.0,0.037231,1.058665,0.46932,1.573138,4.704006,0.954915,3.69549,0.038014,0.013539,1.640863,0.071222,1.030759,0.534495,6.344869
80,14,3,49152,1,0.005498,0.135605,3.155665,1.548157,4.870336,12.715987,0.826434,11.779704,0.08494,0.024506,4.863613,0.116551,3.171415,1.556958,17.5796
88,10,1,1024,1,0.001992,0.004001,0.075634,0.029456,0.111084,4.919884,0.821882,4.05291,0.034195,0.009897,0.09179,0.002,0.064337,0.025452,5.011673
88,10,3,3072,1,0.002015,0.004707,0.193635,0.079486,0.28179,13.644341,0.837537,12.684851,0.09188,0.030073,0.278635,0.006737,0.176835,0.095064,13.922976
88,12,1,4096,1,0.0,0.008967,0.252542,0.09656,0.36215,4.820973,0.831111,3.94928,0.030583,0.01,0.360293,0.008128,0.234943,0.116226,5.181266
88,12,3,12288,1,0.0,0.023972,0.760267,0.301144,1.090735,13.002804,0.838447,12.039303,0.093328,0.031726,1.24149,0.032214,0.755054,0.442154,14.244294
88,14,1,16384,1,0.0,0.036661,0.965189,0.420454,1.437703,5.280525,0.837155,4.387649,0.04275,0.01213,1.523556,0.036258,1.014741,0.468774,6.804081
88,14,3,49152,1,0.0,0.121176,3.365812,1.488217,5.002546,12.820082,0.829197,11.864925,0.093049,0.030899,4.44995,0.105091,3.020325,1.310466,17.270031
96,10,1,1024,1,0.0,0.001939,0.062124,0.028475,0.093088,5.302248,0.847356,4.410877,0.033515,0.010501,0.092674,0.0,0.06288,0.029794,5.394923
96,10,3,3072,1,0.0,0.001014,0.207836,0.069843,0.278693,15.401854,0.823209,14.423139,0.117238,0.038267,0.364668,0.007802,0.222693,0.132749,15.766521
96,12,1,4096,1,0.0,0.008861,0.264774,0.146884,0.422881,6.697872,0.829969,5.813574,0.038009,0.012537,0.397697,0.00983,0.257177,0.13069,7.095569
96,12,3,12288,1,0.0,0.031202,0.938847,0.392743,1.364805,15.178595,0.837097,14.204412,0.104466,0.02663,1.117668,0.021212,0.792533,0.296987,16.296263
96,14,1,16384,1,0.0,0.037758,1.141529,0.457514,1.640764,5.42406,0.840229,4.538281,0.034381,0.010135,1.638054,0.037861,1.059978,0.536807,7.062114
96,14,3,49152,1,0.0,0.109342,3.237166,1.512625,4.873336,14.514956,0.836605,13.538607,0.104606,0.034129,4.770081,0.116081,3.210491,1.423932,19.285037
