Bits,Mean_Delta_Cosine,Max_Delta_Cosine,Mean_Percent_Change,Max_Percent_Change
20,3.7632126202491454e-08,2.3583341091093502e-07,4.320081345369792e-06,2.9886200041047324e-05
19,7.422812135032819e-08,5.254329423776127e-07,8.51754919846088e-06,6.344403346768726e-05
18,1.4782654335082636e-07,1.0214931582819275e-06,1.6971292648944046e-05,0.00012579543673443033
17,2.915377518483808e-07,1.7218311226807614e-06,3.343604149286399e-05,0.00021696808970300647
16,6.042262952509315e-07,4.301166230735731e-06,6.938743282146776e-05,0.0005602031774536788
15,1.196040127175224e-06,9.494090580042247e-06,0.00013728417295494824,0.0011047260513029672
14,2.381899404456078e-06,1.6738740424404597e-05,0.00027317750876303603,0.002166731238774748
13,4.754837157627345e-06,3.1372270055451956e-05,0.0005456797859396652,0.003946496373751331
12,9.764182629397667e-06,7.854688269093302e-05,0.001121360802441363,0.00913966291197168
11,1.888121177414214e-05,0.00013269000166105105,0.0021658314102256334,0.016830283958578777
10,3.8077352558529986e-05,0.00025196226114432285,0.004371289930709329,0.03043394588809721
9,7.721847428316902e-05,0.0004998006595506865,0.008853279273247054,0.06276479968907216
8,0.00015910081646566558,0.0010034146565101043,0.018219468453906002,0.12521338300492946
7,0.00035959603027201304,0.0024866111770445176,0.040970490382160864,0.2903992426710961
6,0.0009858559600820144,0.005215837566240555,0.11100038686789189,0.6661074940164493
5,0.0035680619416437387,0.01168781234519456,0.3987592699438317,1.4772746767908316
