Bags,Quantization,Hashed_EER_Filter_Level,Hashed_EER_Rate,Theory_EER_Filter_Level,Theory_EER_Rate
1,Float,25.84,0.023760000000000003,None,None
1,16-bit,22.41176470588235,0.03341176470588235,None,None
1,12-bit,27.945945945945947,0.03681081081081081,None,None
1,8-bit,26.818181818181817,0.027054545454545456,None,None
1,4-bit,None,None,None,None
1,3-bit,None,None,None,None
3,Float,17.88235294117647,0.012988235294117648,None,None
3,16-bit,18.4468085106383,0.017319148936170214,None,None
3,12-bit,18.923076923076923,0.011292307692307692,None,None
3,8-bit,18.854545454545455,0.018021818181818184,None,None
3,4-bit,35.820754716981135,0.07034339622641508,None,None
3,3-bit,None,None,None,None
5,Float,13.904761904761905,0.009104761904761904,None,None
5,16-bit,12.657894736842104,0.00996842105263158,None,None
5,12-bit,15.166666666666668,0.0096,None,None
5,8-bit,14.066666666666666,0.008426666666666666,None,None
5,4-bit,32.41304347826087,0.04974782608695653,None,None
5,3-bit,None,None,None,None
7,Float,14.052631578947368,0.007473684210526316,None,None
7,16-bit,12.5,0.0044,None,None
7,12-bit,14.0,0.008799999999999999,None,None
7,8-bit,13.882352941176471,0.00783529411764706,None,None
7,4-bit,30.783783783783782,0.05145945945945946,None,None
7,3-bit,None,None,None,None
9,Float,11.125,0.0077,None,None
9,16-bit,13.384615384615385,0.0062769230769230775,None,None
9,12-bit,12.4,0.0084,None,None
9,8-bit,12.823529411764707,0.008894117647058825,None,None
9,4-bit,30.050847457627118,0.041030508474576274,None,None
9,3-bit,None,None,None,None
11,Float,12.833333333333334,0.006266666666666667,None,None
11,16-bit,10.866666666666667,0.005733333333333333,None,None
11,12-bit,10.872340425531915,0.01377872340425532,None,None
11,8-bit,11.333333333333334,0.007466666666666667,None,None
11,4-bit,29.63157894736842,0.05522105263157895,None,None
11,3-bit,None,None,None,None
13,Float,11.434782608695652,0.006939130434782609,None,None
13,16-bit,9.423076923076923,0.0058,None,None
13,12-bit,12.0,0.0108,None,None
13,8-bit,10.5,0.0068000000000000005,None,None
13,4-bit,29.125,0.0392,None,None
13,3-bit,None,None,None,None
